Player,bat_Span,bat_Mat,bat_Inns,bat_NO,bat_Runs,bat_HS,bat_Ave,bat_BF,bat_SR,bat_100,bat_50,bat_0,bat_,bowl_Span,bowl_Mat,bowl_Inns,bowl_Balls,bowl_Runs,bowl_Wkts,bowl_BBI,bowl_Ave,bowl_Econ,bowl_SR,bowl_4,bowl_5,bowl_
AU Rashid,,,,,,,,,,0.0,0.0,0.0,,,164.0,158.0,8189.0,7703.0,243.0,,31.69,5.64,33.6,10.0,2.0,
Aamer Sohail,,156.0,155.0,5.0,4780.0,134.0,31.86,7297.0,65.5,5.0,31.0,10.0,,,156.0,125.0,4836.0,3703.0,85.0,,43.56,4.59,56.8,1.0,0.0,
Aaqib Javed,,,,,,,,,,0.0,0.0,0.0,,,163.0,159.0,8012.0,5721.0,182.0,,31.43,4.28,44.0,2.0,4.0,
Abdul Qadir,,,,,,,,,,0.0,0.0,0.0,,,104.0,100.0,5100.0,3454.0,132.0,,26.16,4.06,38.6,4.0,2.0,
Abdul Razzaq,,265.0,228.0,57.0,5080.0,112.0,29.7,6252.0,81.25,3.0,23.0,14.0,,,265.0,254.0,10941.0,8564.0,269.0,,31.83,4.69,40.6,8.0,3.0,
Abdur Razzak,,,,,,,,,,0.0,0.0,0.0,,,153.0,152.0,7965.0,6065.0,207.0,,29.29,4.56,38.4,5.0,4.0,
Ahmed Shehzad,,81.0,81.0,1.0,2605.0,124.0,32.56,3614.0,72.08,6.0,14.0,7.0,,,,,,,0.0,,,,,,,
Asghar Afghan,,114.0,108.0,10.0,2424.0,101.0,24.73,3630.0,66.77,1.0,12.0,7.0,,,,,,,0.0,,,,,,,
Azhar Mahmood,,,,,,,,,,0.0,0.0,0.0,,,143.0,139.0,6242.0,4813.0,123.0,,39.13,4.62,50.7,2.0,3.0,
B Kumar,,,,,,,,,,0.0,0.0,0.0,,,121.0,120.0,5847.0,4951.0,141.0,,35.11,5.08,41.4,4.0,1.0,
B Lee,,,,,,,,,,0.0,0.0,0.0,,,221.0,217.0,11185.0,8877.0,380.0,,23.36,4.76,29.4,14.0,9.0,
BA Stokes,,114.0,99.0,15.0,3463.0,182.0,41.22,3619.0,95.68,5.0,24.0,7.0,,,,,,,0.0,,,,,,,
BAW Mendis,,,,,,,,,,0.0,0.0,0.0,,,87.0,84.0,4154.0,3324.0,152.0,,21.86,4.8,27.3,7.0,3.0,
BB McCullum,,260.0,228.0,28.0,6083.0,166.0,30.41,6312.0,96.37,5.0,32.0,20.0,,,,,,,0.0,,,,,,,
BC Lara,,299.0,289.0,32.0,10405.0,169.0,40.48,13086.0,79.51,19.0,63.0,16.0,,,,,,,0.0,,,,,,,
BJ Haddin,,126.0,115.0,16.0,3122.0,110.0,31.53,3706.0,84.24,2.0,16.0,2.0,,,,,,,0.0,,,,,,,
BJ McCarthy,,,,,,,,,,0.0,0.0,0.0,,,48.0,48.0,2405.0,2366.0,81.0,,29.2,5.9,29.6,3.0,1.0,
BKG Mendis,,156.0,152.0,13.0,4962.0,143.0,35.69,5653.0,87.77,6.0,36.0,15.0,,,,,,,0.0,,,,,,,
BKV Prasad,,,,,,,,,,0.0,0.0,0.0,,,161.0,160.0,8129.0,6332.0,196.0,,32.3,4.67,41.4,3.0,1.0,
BL Cairns,,,,,,,,,,0.0,0.0,0.0,,,78.0,75.0,4015.0,2717.0,89.0,,30.52,4.06,45.1,2.0,1.0,
BM Scholtz,,,,,,,,,,0.0,0.0,0.0,,,69.0,68.0,3593.0,2039.0,103.0,,19.79,3.4,34.8,4.0,2.0,
BP Patterson,,,,,,,,,,0.0,0.0,0.0,,,59.0,58.0,3050.0,2206.0,90.0,,24.51,4.33,33.8,1.0,1.0,
BRM Taylor,,207.0,205.0,15.0,6704.0,,35.28,8761.0,76.52,11.0,39.0,16.0,,,,,,,0.0,,,,,,,
Babar Azam,,143.0,140.0,16.0,6626.0,158.0,53.43,7652.0,86.59,20.0,38.0,5.0,,,,,,,0.0,,,,,,,
Bilal Khan,,,,,,,,,,0.0,0.0,0.0,,,49.0,49.0,2510.0,2118.0,101.0,,20.97,5.06,24.8,4.0,4.0,
C Pringle,,,,,,,,,,0.0,0.0,0.0,,,64.0,64.0,3314.0,2459.0,103.0,,23.87,4.45,32.1,2.0,1.0,
CA Walsh,,,,,,,,,,0.0,0.0,0.0,,,205.0,204.0,10822.0,6918.0,227.0,,30.47,3.83,47.6,6.0,1.0,
CA Young,,,,,,,,,,0.0,0.0,0.0,,,48.0,45.0,2300.0,2094.0,81.0,,25.85,5.46,28.3,1.0,1.0,
CB Mpofu,,,,,,,,,,0.0,0.0,0.0,,,84.0,83.0,3960.0,3581.0,93.0,,38.5,5.42,42.5,2.0,1.0,
CD Collymore,,,,,,,,,,0.0,0.0,0.0,,,84.0,80.0,4074.0,2924.0,83.0,,35.22,4.3,49.0,1.0,1.0,
