Player,bat_Span,bat_Mat,bat_Inns,bat_NO,bat_Runs,bat_HS,bat_Ave,bat_BF,bat_SR,bat_100,bat_50,bat_0,bat_,bowl_Span,bowl_Mat,bowl_Inns,bowl_Balls,bowl_Runs,bowl_Wkts,bowl_BBI,bowl_Ave,bowl_Econ,bowl_SR,bowl_4,bowl_5,bowl_
Ijaz Ahmed,,250.0,232.0,29.0,6564.0,,32.33,8174.0,80.3,10.0,37.0,14.0,,,,,,,0.0,,,,,,,
Imam-ul-Haq,,75.0,74.0,7.0,3152.0,151.0,47.04,3846.0,81.95,9.0,20.0,3.0,,,,,,,0.0,,,,,,,
Imran Khan,,175.0,151.0,40.0,3709.0,,33.41,5105.0,72.65,1.0,19.0,6.0,,,175.0,153.0,7461.0,4844.0,182.0,,26.61,3.89,40.9,3.0,1.0,
Imran Tahir,,,,,,,,,,0.0,0.0,0.0,,,107.0,104.0,5541.0,4297.0,173.0,,24.83,4.65,32.0,7.0,3.0,
Imrul Kayes,,78.0,78.0,2.0,2434.0,144.0,32.02,3423.0,71.1,4.0,16.0,2.0,,,,,,,0.0,,,,,,,
Inzamam-ul-Haq,,378.0,350.0,53.0,11739.0,,39.52,15812.0,74.24,10.0,83.0,20.0,,,,,,,0.0,,,,,,,
J Garner,,,,,,,,,,0.0,0.0,0.0,,,98.0,98.0,5330.0,2752.0,146.0,,18.84,3.09,36.5,2.0,3.0,
J Srinath,,,,,,,,,,0.0,0.0,0.0,,,229.0,227.0,11935.0,8847.0,315.0,,28.08,4.44,37.8,7.0,3.0,
JC Adams,,127.0,105.0,28.0,2204.0,82.0,28.62,3614.0,60.98,0.0,14.0,7.0,,,,,,,0.0,,,,,,,
JC Buttler,,202.0,174.0,31.0,5578.0,,39.0,4832.0,115.43,11.0,29.0,15.0,,,,,,,0.0,,,,,,,
JDP Oram,,160.0,116.0,15.0,2434.0,,24.09,2810.0,86.61,1.0,13.0,8.0,,,160.0,154.0,6911.0,5047.0,173.0,,29.17,4.38,39.9,3.0,2.0,
JE Emburey,,,,,,,,,,0.0,0.0,0.0,,,61.0,61.0,3425.0,2346.0,76.0,,30.86,4.1,45.0,2.0,0.0,
JE Root,,192.0,181.0,28.0,7826.0,,51.15,8907.0,87.86,20.0,48.0,9.0,,,,,,,0.0,,,,,,,
JE Taylor,,,,,,,,,,0.0,0.0,0.0,,,90.0,88.0,4341.0,3780.0,128.0,,29.53,5.22,33.9,3.0,1.0,
JEC Franklin,,,,,,,,,,0.0,0.0,0.0,,,110.0,97.0,3848.0,3354.0,81.0,,41.4,5.22,47.5,0.0,1.0,
JG Wright,,149.0,148.0,1.0,3891.0,101.0,26.46,6804.0,57.18,1.0,24.0,9.0,,,,,,,0.0,,,,,,,
JH Kallis,,328.0,314.0,53.0,11579.0,139.0,44.36,15885.0,72.89,17.0,86.0,17.0,,,328.0,283.0,10750.0,8680.0,273.0,,31.79,4.84,39.3,2.0,2.0,
JJ Bumrah,,,,,,,,,,0.0,0.0,0.0,,,91.0,90.0,4694.0,3585.0,151.0,,23.74,4.58,31.0,6.0,2.0,
JJ Roy,,116.0,110.0,3.0,4271.0,180.0,39.91,4047.0,105.53,12.0,21.0,11.0,,,,,,,0.0,,,,,,,
JM Anderson,,,,,,,,,,0.0,0.0,0.0,,,194.0,191.0,9584.0,7861.0,269.0,,29.22,4.92,35.6,11.0,2.0,
JM Bairstow,,107.0,98.0,8.0,3868.0,,42.97,3758.0,102.92,11.0,17.0,9.0,,,,,,,0.0,,,,,,,
JN Gillespie,,,,,,,,,,0.0,0.0,0.0,,,97.0,96.0,5144.0,3611.0,142.0,,25.42,4.21,36.2,3.0,3.0,
JN Rhodes,,245.0,220.0,51.0,5935.0,121.0,35.11,7336.0,80.9,2.0,33.0,12.0,,,,,,,0.0,,,,,,,
JO Holder,,138.0,114.0,24.0,2237.0,,24.85,2479.0,90.23,0.0,12.0,11.0,,,138.0,134.0,6402.0,5878.0,159.0,,36.96,5.5,40.2,5.0,2.0,
JP Duminy,,199.0,179.0,40.0,5117.0,,36.81,6052.0,84.55,4.0,27.0,7.0,,,,,,,0.0,,,,,,,
JP Faulkner,,,,,,,,,,0.0,0.0,0.0,,,69.0,67.0,3211.0,2962.0,96.0,,30.85,5.53,33.4,4.0,0.0,
JR Hazlewood,,,,,,,,,,0.0,0.0,0.0,,,96.0,95.0,4978.0,3928.0,142.0,,27.66,4.73,35.0,1.0,3.0,
JR Ratnayeke,,,,,,,,,,0.0,0.0,0.0,,,78.0,76.0,3573.0,2866.0,85.0,,33.71,4.81,42.0,1.0,0.0,
Javed Miandad,,233.0,218.0,41.0,7381.0,,41.7,11014.0,67.01,8.0,50.0,8.0,,,,,,,0.0,,,,,,,
Junaid Khan,,,,,,,,,,0.0,0.0,0.0,,,76.0,76.0,3601.0,3216.0,110.0,,29.23,5.35,32.7,4.0,0.0,
Junaid Siddique,,,,,,,,,,0.0,0.0,0.0,,,67.0,66.0,3142.0,2653.0,98.0,,27.07,5.06,32.0,1.0,1.0,
K Rabada,,,,,,,,,,0.0,0.0,0.0,,,106.0,104.0,5444.0,4613.0,168.0,,27.45,5.08,32.4,6.0,2.0,
K Srikkanth,,146.0,145.0,4.0,4091.0,123.0,29.01,5702.0,71.74,4.0,27.0,11.0,,,,,,,0.0,,,,,,,
KA Pollard,,123.0,113.0,9.0,2706.0,119.0,26.01,2866.0,94.41,3.0,13.0,15.0,,,,,,,0.0,,,,,,,
KAJ Roach,,,,,,,,,,0.0,0.0,0.0,,,95.0,93.0,4579.0,3885.0,125.0,,31.08,5.09,36.6,3.0,3.0,
KC Sangakkara,,404.0,380.0,41.0,14234.0,169.0,41.98,18048.0,78.86,25.0,93.0,15.0,,,,,,,0.0,,,,,,,
KC Wessels,,109.0,105.0,7.0,3367.0,107.0,34.35,6088.0,55.3,1.0,26.0,0.0,,,,,,,0.0,,,,,,,
KD Mills,,,,,,,,,,0.0,0.0,0.0,,,170.0,169.0,8230.0,6485.0,240.0,,27.02,4.72,34.2,8.0,1.0,
KIC Asalanka,,85.0,76.0,10.0,2779.0,127.0,42.1,3065.0,90.66,5.0,17.0,5.0,,,,,,,0.0,,,,,,,
KJ Coetzer,,89.0,87.0,5.0,3192.0,156.0,38.92,3875.0,82.37,5.0,21.0,8.0,,,,,,,0.0,,,,,,,
KJ O'Brien,,153.0,141.0,18.0,3619.0,142.0,29.42,4076.0,88.78,2.0,18.0,6.0,,,153.0,116.0,4296.0,3726.0,114.0,,32.68,5.2,37.6,5.0,0.0,
KL Rahul,,98.0,90.0,21.0,3412.0,,49.44,3746.0,91.08,8.0,20.0,4.0,,,,,,,0.0,,,,,,,
KMDN Kulasekara,,,,,,,,,,0.0,0.0,0.0,,,184.0,181.0,8263.0,6751.0,199.0,,33.92,4.9,41.5,4.0,1.0,
KP Pietersen,,136.0,125.0,16.0,4440.0,130.0,40.73,5128.0,86.58,9.0,25.0,7.0,,,,,,,0.0,,,,,,,
KR Rutherford,,121.0,115.0,9.0,3143.0,108.0,29.65,4888.0,64.3,2.0,18.0,6.0,,,,,,,0.0,,,,,,,
KS Williamson,,175.0,167.0,18.0,7256.0,148.0,48.69,8893.0,81.59,15.0,47.0,6.0,,,,,,,0.0,,,,,,,
Kamran Akmal,,157.0,138.0,14.0,3236.0,124.0,26.09,3855.0,83.94,5.0,10.0,10.0,,,,,,,0.0,,,,,,,
Karan KC,,,,,,,,,,0.0,0.0,0.0,,,71.0,71.0,3100.0,2660.0,98.0,,27.14,5.14,31.6,6.0,3.0,
Kuldeep Yadav,,,,,,,,,,0.0,0.0,0.0,,,121.0,118.0,6204.0,5247.0,194.0,,27.04,5.07,31.9,9.0,2.0,
L Klusener,,171.0,137.0,50.0,3576.0,,41.1,3977.0,89.91,2.0,19.0,13.0,,,171.0,164.0,7336.0,5751.0,192.0,,29.95,4.7,38.2,1.0,6.0,
L Ngidi,,,,,,,,,,0.0,0.0,0.0,,,75.0,74.0,3461.0,3350.0,115.0,,29.13,5.8,30.0,4.0,2.0,
L Vincent,,102.0,99.0,10.0,2413.0,172.0,27.11,3453.0,69.88,3.0,11.0,8.0,,,,,,,0.0,,,,,,,
LD Chandimal,,157.0,142.0,21.0,3854.0,111.0,31.85,5191.0,74.24,4.0,24.0,11.0,,,,,,,0.0,,,,,,,
LE Plunkett,,,,,,,,,,0.0,0.0,0.0,,,89.0,87.0,4137.0,4010.0,135.0,,29.7,5.81,30.6,6.0,1.0,
LH Ferguson,,,,,,,,,,0.0,0.0,0.0,,,65.0,64.0,3300.0,3124.0,99.0,,31.55,5.68,33.3,2.0,1.0,
LL Tsotsobe,,,,,,,,,,0.0,0.0,0.0,,,61.0,60.0,2964.0,2347.0,94.0,,24.96,4.75,31.5,7.0,0.0,
LRPL Taylor,,236.0,220.0,39.0,8607.0,,47.55,10330.0,83.32,21.0,51.0,9.0,,,,,,,0.0,,,,,,,
Litton Das,,104.0,103.0,10.0,2869.0,176.0,30.84,3355.0,85.51,5.0,14.0,16.0,,,,,,,0.0,,,,,,,
M Azharuddin,,334.0,308.0,54.0,9378.0,,36.92,12669.0,74.02,7.0,58.0,9.0,,,,,,,0.0,,,,,,,
M Dillon,,,,,,,,,,0.0,0.0,0.0,,,108.0,107.0,5480.0,4218.0,130.0,,32.44,4.61,42.1,3.0,3.0,
M Kaif,,125.0,110.0,24.0,2753.0,,32.01,3822.0,72.03,2.0,17.0,8.0,,,,,,,0.0,,,,,,,
M Morkel,,,,,,,,,,0.0,0.0,0.0,,,117.0,114.0,5760.0,4761.0,188.0,,25.32,4.95,30.6,7.0,2.0,
M Muralidaran,,,,,,,,,,0.0,0.0,0.0,,,350.0,341.0,18811.0,12326.0,534.0,,23.08,3.93,35.2,15.0,10.0,
M Ntini,,,,,,,,,,0.0,0.0,0.0,,,173.0,171.0,8687.0,6559.0,266.0,,24.65,4.53,32.6,8.0,4.0,
M Prabhakar,,,,,,,,,,0.0,0.0,0.0,,,130.0,127.0,6360.0,4534.0,157.0,,28.87,4.27,40.5,4.0,2.0,
M Theekshana,,,,,,,,,,0.0,0.0,0.0,,,61.0,59.0,2949.0,2241.0,81.0,,27.66,4.55,36.4,7.0,0.0,
MA Holding,,,,,,,,,,0.0,0.0,0.0,,,102.0,102.0,5473.0,3034.0,142.0,,21.36,3.32,38.5,5.0,1.0,
MA Starc,,,,,,,,,,0.0,0.0,0.0,,,130.0,130.0,6638.0,5826.0,247.0,,23.58,5.26,26.8,12.0,9.0,
MA Taylor,,113.0,110.0,1.0,3514.0,105.0,32.23,5908.0,59.47,1.0,28.0,4.0,,,,,,,0.0,,,,,,,
MA Wood,,,,,,,,,,0.0,0.0,0.0,,,70.0,69.0,3506.0,3266.0,80.0,,40.82,5.58,43.8,2.0,0.0,
MC Snedden,,,,,,,,,,0.0,0.0,0.0,,,93.0,90.0,4525.0,3237.0,114.0,,28.39,4.29,39.6,1.0,0.0,
MD Crowe,,143.0,140.0,18.0,4704.0,,38.55,6476.0,72.63,4.0,34.0,3.0,,,,,,,0.0,,,,,,,
MD Marshall,,,,,,,,,,0.0,0.0,0.0,,,136.0,134.0,7175.0,4233.0,157.0,,26.96,3.53,45.7,6.0,0.0,
MD Patel,,75.0,74.0,4.0,2377.0,130.0,33.95,2937.0,80.93,3.0,18.0,11.0,,,,,,,0.0,,,,,,,
MDKJ Perera,,116.0,111.0,5.0,3237.0,135.0,30.53,3485.0,92.88,6.0,17.0,12.0,,,,,,,0.0,,,,,,,
ME Trescothick,,123.0,122.0,6.0,4335.0,137.0,37.37,5087.0,85.21,12.0,21.0,13.0,,,,,,,0.0,,,,,,,
ME Waugh,,244.0,236.0,20.0,8500.0,173.0,39.35,11053.0,76.9,18.0,50.0,16.0,,,244.0,120.0,3687.0,2938.0,85.0,,34.56,4.78,43.3,1.0,1.0,
MEK Hussey,,185.0,157.0,44.0,5442.0,,48.15,6243.0,87.16,3.0,39.0,3.0,,,,,,,0.0,,,,,,,
MF Maharoof,,,,,,,,,,0.0,0.0,0.0,,,109.0,105.0,4640.0,3789.0,135.0,,28.06,4.89,34.3,4.0,2.0,
MG Bevan,,232.0,196.0,67.0,6912.0,,53.58,9320.0,74.16,6.0,46.0,5.0,,,,,,,0.0,,,,,,,
MG Erasmus,,68.0,66.0,5.0,2268.0,125.0,37.18,2924.0,77.56,2.0,18.0,4.0,,,,,,,0.0,,,,,,,
MG Johnson,,,,,,,,,,0.0,0.0,0.0,,,153.0,150.0,7489.0,6038.0,239.0,,25.26,4.83,31.3,9.0,3.0,
MH Cross,,117.0,102.0,3.0,2350.0,114.0,23.73,3258.0,72.13,2.0,12.0,3.0,,,,,,,0.0,,,,,,,
MJ Clarke,,245.0,223.0,44.0,7981.0,130.0,44.58,10104.0,78.98,8.0,58.0,10.0,,,,,,,0.0,,,,,,,
MJ Greatbatch,,84.0,83.0,5.0,2206.0,111.0,28.28,3099.0,71.18,2.0,13.0,7.0,,,,,,,0.0,,,,,,,
MJ Guptill,,198.0,195.0,19.0,7346.0,,41.73,8415.0,87.29,18.0,39.0,16.0,,,,,,,0.0,,,,,,,
MJ Henry,,,,,,,,,,0.0,0.0,0.0,,,95.0,93.0,4946.0,4298.0,172.0,,24.98,5.21,28.7,13.0,3.0,
MJ McClenaghan,,,,,,,,,,0.0,0.0,0.0,,,48.0,45.0,2336.0,2313.0,82.0,,28.2,5.94,28.4,6.0,1.0,
MJ Santner,,,,,,,,,,0.0,0.0,0.0,,,129.0,123.0,6146.0,4870.0,139.0,,35.03,4.75,44.2,0.0,2.0,
ML Hayden,,161.0,155.0,15.0,6133.0,,43.8,7767.0,78.96,10.0,36.0,9.0,,,,,,,0.0,,,,,,,
MM Ali,,138.0,112.0,15.0,2355.0,128.0,24.27,2399.0,98.16,3.0,6.0,6.0,,,138.0,128.0,5988.0,5311.0,111.0,,47.84,5.32,53.9,2.0,0.0,
MM Patel,,,,,,,,,,0.0,0.0,0.0,,,70.0,67.0,3154.0,2603.0,86.0,,30.26,4.95,36.6,3.0,0.0,
MN Samuels,,207.0,196.0,26.0,5606.0,,32.97,7463.0,75.11,10.0,30.0,11.0,,,207.0,134.0,5091.0,4127.0,89.0,,46.37,4.86,57.2,0.0,0.0,
MP O'Dowd,,69.0,68.0,4.0,2226.0,,34.78,2996.0,74.29,1.0,16.0,4.0,,,,,,,0.0,,,,,,,
MR Marsh,,99.0,95.0,12.0,3098.0,,37.32,3276.0,94.56,4.0,20.0,7.0,,,,,,,0.0,,,,,,,
MRJ Watt,,,,,,,,,,0.0,0.0,0.0,,,89.0,87.0,4582.0,3260.0,119.0,,27.39,4.26,38.5,3.0,1.0,
MS Atapattu,,268.0,259.0,32.0,8529.0,,37.57,12594.0,67.72,11.0,59.0,13.0,,,,,,,0.0,,,,,,,
MS Dhoni,,350.0,297.0,84.0,10773.0,,50.57,12303.0,87.56,10.0,73.0,10.0,,,,,,,0.0,,,,,,,
MV Boucher,,295.0,221.0,57.0,4686.0,,28.57,5528.0,84.76,1.0,26.0,16.0,,,,,,,0.0,,,,,,,
MW Gatting,,92.0,88.0,17.0,2095.0,,29.5,2968.0,70.58,1.0,9.0,4.0,,,,,,,0.0,,,,,,,
Mahmudullah,,239.0,209.0,53.0,5689.0,,36.46,7327.0,77.64,4.0,32.0,10.0,,,239.0,153.0,4380.0,3809.0,82.0,,46.45,5.21,53.4,0.0,0.0,
Mashrafe Mortaza,,,,,,,,,,0.0,0.0,0.0,,,220.0,220.0,10922.0,8893.0,270.0,,32.93,4.88,40.4,7.0,1.0,
Mehidy Hasan Miraz,,,,,,,,,,0.0,0.0,0.0,,,125.0,122.0,6119.0,4800.0,132.0,,36.36,4.7,46.3,5.0,0.0,
Misbah-ul-Haq,,162.0,149.0,31.0,5122.0,,43.4,6945.0,73.75,0.0,42.0,6.0,,,,,,,0.0,,,,,,,
Mohammad Amir,,,,,,,,,,0.0,0.0,0.0,,,61.0,60.0,3013.0,2400.0,81.0,,29.62,4.77,37.1,1.0,1.0,
Mohammad Ashraful,,177.0,169.0,13.0,3468.0,109.0,22.23,4947.0,70.1,3.0,20.0,14.0,,,,,,,0.0,,,,,,,
Mohammad Hafeez,,218.0,216.0,15.0,6614.0,,32.9,8633.0,76.61,11.0,38.0,19.0,,,218.0,177.0,7733.0,5400.0,139.0,,38.84,4.18,55.6,1.0,0.0,
Mohammad Irfan,,,,,,,,,,0.0,0.0,0.0,,,60.0,60.0,3109.0,2549.0,83.0,,30.71,4.91,37.4,2.0,0.0,
Mohammad Nabi,,178.0,156.0,18.0,3792.0,136.0,27.47,4308.0,88.02,2.0,18.0,6.0,,,178.0,167.0,8054.0,5806.0,177.0,,32.8,4.32,45.5,4.0,1.0,
Mohammad Rafique,,,,,,,,,,0.0,0.0,0.0,,,125.0,124.0,6414.0,4739.0,125.0,,37.91,4.43,51.3,3.0,1.0,
Mohammad Rizwan,,103.0,94.0,21.0,2979.0,,40.8,3519.0,84.65,4.0,19.0,3.0,,,,,,,0.0,,,,,,,
Mohammad Sami,,,,,,,,,,0.0,0.0,0.0,,,87.0,85.0,4284.0,3567.0,121.0,,29.47,4.99,35.4,3.0,1.0,
Mohammad Shahzad,,84.0,84.0,3.0,2727.0,,33.66,3082.0,88.48,6.0,14.0,4.0,,,,,,,0.0,,,,,,,
Mohammad Yousuf,,288.0,273.0,40.0,9720.0,,41.71,12942.0,75.1,15.0,64.0,15.0,,,,,,,0.0,,,,,,,
Mohammed Shami,,,,,,,,,,0.0,0.0,0.0,,,108.0,107.0,5326.0,4955.0,206.0,,24.05,5.58,25.8,10.0,6.0,
Mohammed Siraj,,,,,,,,,,0.0,0.0,0.0,,,50.0,49.0,2251.0,1925.0,76.0,,25.32,5.13,29.6,2.0,1.0,
Moin Khan,,219.0,183.0,41.0,3266.0,,23.0,4017.0,81.3,0.0,12.0,17.0,,,,,,,0.0,,,,,,,
Mudassar Nazar,,122.0,115.0,10.0,2653.0,95.0,25.26,5130.0,51.71,0.0,16.0,6.0,,,122.0,104.0,4855.0,3432.0,111.0,,30.91,4.24,43.7,1.0,1.0,
Mujeeb Ur Rahman,,,,,,,,,,0.0,0.0,0.0,,,75.0,74.0,3968.0,2863.0,101.0,,28.34,4.32,39.2,3.0,1.0,
Mushfiqur Rahim,,274.0,256.0,42.0,7795.0,144.0,36.42,9780.0,79.7,9.0,49.0,12.0,,,,,,,0.0,,,,,,,
Mushtaq Ahmed,,,,,,,,,,0.0,0.0,0.0,,,144.0,142.0,7543.0,5361.0,161.0,,33.29,4.26,46.8,3.0,1.0,
Mustafizur Rahman,,,,,,,,,,0.0,0.0,0.0,,,124.0,122.0,5909.0,5076.0,193.0,,26.3,5.15,30.6,6.0,6.0,
N Boje,,,,,,,,,,0.0,0.0,0.0,,,115.0,108.0,4541.0,3415.0,96.0,,35.57,4.51,47.3,2.0,1.0,
N Hussain,,88.0,87.0,10.0,2332.0,115.0,30.28,3481.0,66.99,1.0,16.0,6.0,,,,,,,0.0,,,,,,,
N Kapil Dev,,225.0,198.0,39.0,3783.0,,23.79,3979.0,95.07,1.0,14.0,13.0,,,225.0,221.0,11202.0,6945.0,253.0,,27.45,3.71,44.2,3.0,1.0,
NJ Astle,,223.0,217.0,14.0,7090.0,,34.92,9760.0,72.64,16.0,41.0,19.0,,,223.0,159.0,4850.0,3809.0,99.0,,38.47,4.71,48.9,1.0,0.0,
NJ O'Brien,,103.0,101.0,9.0,2581.0,109.0,28.05,3638.0,70.94,1.0,18.0,3.0,,,,,,,0.0,,,,,,,
NLTC Perera,,166.0,133.0,16.0,2338.0,140.0,19.98,2086.0,112.08,1.0,10.0,11.0,,,166.0,157.0,5900.0,5740.0,175.0,,32.8,5.83,33.7,5.0,4.0,
NS Sidhu,,136.0,127.0,8.0,4413.0,,37.08,6329.0,69.72,6.0,33.0,7.0,,,,,,,0.0,,,,,,,
NV Knight,,100.0,100.0,10.0,3637.0,,40.41,5085.0,71.52,5.0,25.0,6.0,,,,,,,0.0,,,,,,,
NW Bracken,,,,,,,,,,0.0,0.0,0.0,,,116.0,116.0,5759.0,4240.0,174.0,,24.36,4.41,33.0,5.0,2.0,
Naved-ul-Hasan,,,,,,,,,,0.0,0.0,0.0,,,74.0,72.0,3466.0,3221.0,110.0,,29.28,5.57,31.5,6.0,1.0,
P Kumar,,,,,,,,,,0.0,0.0,0.0,,,68.0,67.0,3242.0,2774.0,77.0,,36.02,5.13,42.1,3.0,0.0,
P Nissanka,,79.0,78.0,5.0,2999.0,,41.08,3366.0,89.09,7.0,19.0,6.0,,,,,,,0.0,,,,,,,
P Utseya,,,,,,,,,,0.0,0.0,0.0,,,164.0,160.0,8571.0,6239.0,133.0,,46.9,4.36,64.4,2.0,1.0,
PA Strang,,,,,,,,,,0.0,0.0,0.0,,,95.0,89.0,4351.0,3173.0,96.0,,33.05,4.37,45.3,2.0,2.0,
PA de Silva,,308.0,296.0,30.0,9284.0,145.0,34.9,11443.0,81.13,11.0,64.0,17.0,,,308.0,156.0,5148.0,4177.0,106.0,,39.4,4.86,48.5,2.0,0.0,
PAJ DeFreitas,,,,,,,,,,0.0,0.0,0.0,,,103.0,103.0,5712.0,3775.0,115.0,,32.82,3.96,49.6,1.0,0.0,
PD Collingwood,,197.0,181.0,37.0,5092.0,,35.36,6614.0,76.98,5.0,26.0,7.0,,,197.0,151.0,5186.0,4294.0,111.0,,38.68,4.96,46.7,3.0,1.0,
PJ Cummins,,,,,,,,,,0.0,0.0,0.0,,,90.0,90.0,4683.0,4116.0,143.0,,28.78,5.27,32.7,6.0,1.0,
PJ Ongondo,,,,,,,,,,0.0,0.0,0.0,,,79.0,79.0,3102.0,2350.0,78.0,,30.12,4.54,39.7,1.0,1.0,
PL Taylor,,,,,,,,,,0.0,0.0,0.0,,,83.0,80.0,3937.0,2740.0,97.0,,28.24,4.17,40.5,1.0,0.0,
PR Reiffel,,,,,,,,,,0.0,0.0,0.0,,,92.0,92.0,4732.0,3096.0,106.0,,29.2,3.92,44.6,5.0,0.0,
PR Stirling,,170.0,162.0,3.0,6005.0,177.0,37.76,6864.0,87.48,14.0,32.0,13.0,,,,,,,0.0,,,,,,,
PS de Villiers,,,,,,,,,,0.0,0.0,0.0,,,83.0,82.0,4422.0,2636.0,95.0,,27.74,3.57,46.5,2.0,0.0,
PV Simmons,,143.0,138.0,11.0,3675.0,122.0,28.93,5407.0,67.96,5.0,18.0,14.0,,,143.0,103.0,3880.0,2876.0,83.0,,34.65,4.44,46.7,2.0,0.0,
PW Hasaranga,,,,,,,,,,0.0,0.0,0.0,,,71.0,69.0,3305.0,2807.0,113.0,,24.84,5.09,29.2,5.0,4.0,
Q de Kock,,161.0,161.0,8.0,7123.0,178.0,46.55,7367.0,96.68,23.0,32.0,5.0,,,,,,,0.0,,,,,,,
R Ashwin,,,,,,,,,,0.0,0.0,0.0,,,116.0,114.0,6303.0,5180.0,156.0,,33.2,4.93,40.4,1.0,0.0,
R Dravid,,344.0,318.0,40.0,10889.0,153.0,39.16,15285.0,71.23,12.0,83.0,13.0,,,,,,,0.0,,,,,,,
R McLaren,,,,,,,,,,0.0,0.0,0.0,,,54.0,51.0,2403.0,2102.0,77.0,,27.29,5.24,31.2,5.0,0.0,
R Ngarava,,,,,,,,,,0.0,0.0,0.0,,,57.0,54.0,2533.0,2234.0,76.0,,29.39,5.29,33.3,1.0,1.0,
R Rampaul,,,,,,,,,,0.0,0.0,0.0,,,92.0,88.0,4033.0,3434.0,117.0,,29.35,5.1,34.4,8.0,2.0,
R Trumpelmann,,,,,,,,,,0.0,0.0,0.0,,,53.0,51.0,2474.0,1986.0,77.0,,25.79,4.81,32.1,2.0,2.0,
RA Harper,,,,,,,,,,0.0,0.0,0.0,,,105.0,99.0,5175.0,3431.0,100.0,,34.31,3.97,51.7,3.0,0.0,
RA Jadeja,,210.0,142.0,52.0,2905.0,87.0,32.27,3396.0,85.54,0.0,13.0,6.0,,,210.0,202.0,10404.0,8478.0,232.0,,36.54,4.88,44.8,7.0,2.0,
RA Smith,,71.0,70.0,8.0,2419.0,,39.01,3473.0,69.65,4.0,15.0,4.0,,,,,,,0.0,,,,,,,
RAS Lakmal,,,,,,,,,,0.0,0.0,0.0,,,86.0,84.0,3881.0,3534.0,109.0,,32.42,5.46,35.6,3.0,0.0,
RB Richardson,,224.0,217.0,30.0,6248.0,122.0,33.41,9801.0,63.74,5.0,44.0,8.0,,,,,,,0.0,,,,,,,
RD Berrington,,140.0,131.0,17.0,3693.0,127.0,32.39,4868.0,75.86,6.0,21.0,8.0,,,,,,,0.0,,,,,,,
RD King,,,,,,,,,,0.0,0.0,0.0,,,50.0,50.0,2603.0,1807.0,76.0,,23.77,4.16,34.2,2.0,0.0,
RG Sharma,,288.0,280.0,37.0,11895.0,264.0,48.95,12784.0,93.04,34.0,62.0,16.0,,,,,,,0.0,,,,,,,
RG Twose,,87.0,81.0,11.0,2717.0,103.0,38.81,3603.0,75.4,1.0,20.0,5.0,,,,,,,0.0,,,,,,,
RGD Willis,,,,,,,,,,0.0,0.0,0.0,,,64.0,64.0,3595.0,1968.0,80.0,,24.6,3.28,44.9,4.0,0.0,
RJ Ratnayake,,,,,,,,,,0.0,0.0,0.0,,,70.0,70.0,3575.0,2712.0,76.0,,35.68,4.55,47.0,1.0,1.0,
RJ Shastri,,150.0,128.0,21.0,3108.0,109.0,29.04,5089.0,61.07,4.0,18.0,5.0,,,150.0,136.0,6613.0,4650.0,129.0,,36.04,4.21,51.2,2.0,1.0,
RK Paudel,,86.0,81.0,6.0,2246.0,126.0,29.94,3040.0,73.88,2.0,12.0,5.0,,,,,,,0.0,,,,,,,
RM Hogg,,,,,,,,,,0.0,0.0,0.0,,,71.0,67.0,3677.0,2418.0,85.0,,28.44,3.94,43.2,5.0,0.0,
RMH Binny,,,,,,,,,,0.0,0.0,0.0,,,72.0,67.0,2957.0,2260.0,77.0,,29.35,4.58,38.4,3.0,0.0,
RP Arnold,,180.0,155.0,43.0,3950.0,103.0,35.26,5443.0,72.57,1.0,28.0,7.0,,,,,,,0.0,,,,,,,
RR Sarwan,,181.0,169.0,33.0,5804.0,,42.67,7663.0,75.74,5.0,38.0,8.0,,,,,,,0.0,,,,,,,
RR Singh,,136.0,113.0,23.0,2336.0,100.0,25.95,3144.0,74.3,1.0,9.0,5.0,,,,,,,0.0,,,,,,,
RS Bopara,,120.0,109.0,21.0,2695.0,,30.62,3462.0,77.84,1.0,14.0,4.0,,,,,,,0.0,,,,,,,
RS Kaluwitharana,,189.0,181.0,14.0,3711.0,,22.22,4776.0,77.7,2.0,23.0,24.0,,,,,,,0.0,,,,,,,
RS Mahanama,,213.0,198.0,23.0,5162.0,,29.49,8521.0,60.57,4.0,35.0,15.0,,,,,,,0.0,,,,,,,
RT Ponting,,375.0,365.0,39.0,13704.0,164.0,42.03,17046.0,80.39,30.0,82.0,20.0,,,,,,,0.0,,,,,,,
RW Price,,,,,,,,,,0.0,0.0,0.0,,,102.0,99.0,5374.0,3575.0,100.0,,35.75,3.99,53.7,1.0,0.0,
Rahmat Shah,,128.0,123.0,6.0,4121.0,114.0,35.22,5773.0,71.38,5.0,33.0,5.0,,,,,,,0.0,,,,,,,
Ramiz Raja,,198.0,197.0,15.0,5841.0,,32.09,9226.0,63.31,9.0,31.0,15.0,,,,,,,0.0,,,,,,,
Rashid Khan,,,,,,,,,,0.0,0.0,0.0,,,120.0,112.0,6008.0,4265.0,214.0,,19.92,4.25,28.0,6.0,6.0,
Rohan Mustafa,,,,,,,,,,0.0,0.0,0.0,,,81.0,80.0,3787.0,2831.0,85.0,,33.3,4.48,44.5,1.0,1.0,
Rubel Hossain,,,,,,,,,,0.0,0.0,0.0,,,104.0,102.0,4678.0,4427.0,129.0,,34.31,5.67,36.2,7.0,1.0,
